Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MA,0.25,0:21:54,0.9112,0.908,0.9112,0.9093,10,0.25,0.1508,0.0902,0.2756,0.2575,0.2259
MA-F,0.25,0:21:29,0.9112,0.908,0.9112,0.9093,10,0.25,0.1508,0.0902,0.2756,0.2575,0.2259
