Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM,0.25,0:19:06,0.9112,0.9083,0.9112,0.9093,10,0.25,0.1311,0.099,0.2767,0.2658,0.2275
MEM-F,0.25,0:19:01,0.9112,0.9083,0.9112,0.9093,10,0.25,0.1311,0.099,0.2767,0.2658,0.2275
