Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
memetico,0.25,0:19:32,0.9124,0.9089,0.9124,0.9099,10,0.25,0.1415,0.0922,0.2736,0.2549,0.2378
memetico (libre),0.25,0:18:51,0.9124,0.9089,0.9124,0.9099,10,0.25,0.1415,0.0922,0.2736,0.2549,0.2378
