,Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
0,MEM,0.25,0 days 00:21:54,0.9112,0.908,0.9112,0.9093,10,0.25,0.1508,0.0902,0.2756,0.2575,0.2259
1,MEM-F,0.25,0 days 00:21:29,0.9112,0.908,0.9112,0.9093,10,0.25,0.1508,0.0902,0.2756,0.2575,0.2259
0,MEM,0.25,0 days 00:19:06,0.9112,0.9083,0.9112,0.9093,10,0.25,0.1311,0.099,0.2767,0.2658,0.2275
1,MEM-F,0.25,0 days 00:19:01,0.9112,0.9083,0.9112,0.9093,10,0.25,0.1311,0.099,0.2767,0.2658,0.2275
0,MEM,0.25,0 days 00:23:15,0.9194,0.9175,0.9194,0.9181,10,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
1,MEM-F,0.25,0 days 00:23:02,0.9194,0.9175,0.9194,0.9181,10,0.25,0.1492,0.1031,0.2741,0.2482,0.2254
0,MEM,0.25,0 days 00:19:32,0.9124,0.9089,0.9124,0.9099,10,0.25,0.1415,0.0922,0.2736,0.2549,0.2378
1,MEM-F,0.25,0 days 00:18:51,0.9124,0.9089,0.9124,0.9099,10,0.25,0.1415,0.0922,0.2736,0.2549,0.2378
0,MEM,0.25,0 days 00:23:08,0.9124,0.9087,0.9124,0.91,10,0.25,0.1326,0.0953,0.2798,0.2591,0.2332
1,MEM-F,0.25,0 days 00:22:55,0.9124,0.9087,0.9124,0.91,10,0.25,0.1326,0.0953,0.2798,0.2591,0.2332
