Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MEM,0.25,0:23:08,0.9124,0.9087,0.9124,0.91,10,0.25,0.1326,0.0953,0.2798,0.2591,0.2332
MEM-F,0.25,0:22:55,0.9124,0.9087,0.9124,0.91,10,0.25,0.1326,0.0953,0.2798,0.2591,0.2332
