Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
LR-F,0.06,0:30:53,0.8091,0.8372,0.8091,0.7906,100,0.0599,0.3642,0.3245,0.3113
PR,0.1,0:39:08,0.8333,0.8414,0.8333,0.8255,100,0.1,0.3254,0.3452,0.3294
PR,0.25,1:13:29,0.7984,0.8146,0.7984,0.7887,100,0.25,0.319,0.327,0.354
PR,0.5,2:22:10,0.8091,0.8207,0.8091,0.7992,100,0.5,0.3262,0.3151,0.3587
PR,0.75,4:21:35,0.8172,0.8356,0.8172,0.8107,100,0.75,0.3333,0.3328,0.3339
