Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
free busqueda local,0.06,0:20:43,0.8683,0.869,0.8683,0.866,100,0.0599,0.3974,0.2781,0.3245
genetico3,0.1,0:32:44,0.8763,0.8777,0.8763,0.8748,100,0.1,0.4127,0.3413,0.246
genetico3,0.25,0:54:58,0.8575,0.87,0.8575,0.8492,100,0.25,0.3175,0.3698,0.3127
genetico3,0.5,1:51:50,0.836,0.838,0.836,0.8291,100,0.5,0.3556,0.3127,0.3317
genetico3,0.75,2:40:51,0.8306,0.8362,0.8306,0.8262,100,0.75,0.3339,0.3333,0.3328
