Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
-,1.0,0:05:10,0.8010752688172043,0.8155197293128328,0.8010752688172043,0.7943209557450963,1,0.86094975
aleatorio,0.1,0:37:01,0.7983870967741935,0.8003570775629599,0.7983870967741935,0.7884058284995644,100,0.086094975
aleatorio,0.25,1:01:46,0.8091397849462365,0.8253035561449545,0.8091397849462365,0.8018648508766254,100,0.21523744
aleatorio,0.5,1:55:53,0.8010752688172043,0.8224118837591171,0.8010752688172043,0.7946638946638946,100,0.43047488
aleatorio,0.75,2:48:06,0.8198924731182796,0.8396716566866267,0.8198924731182796,0.811796610334607,100,0.6457123
busqueda local,0.1,0:29:02,0.8091397849462365,0.8062051282051282,0.8091397849462365,0.8042712937300157,100,0.086094975
busqueda local,0.25,1:01:09,0.8387096774193549,0.8534623696756206,0.8387096774193549,0.8339723693752875,100,0.21523744
busqueda local,0.5,1:54:45,0.803763440860215,0.8244147803302163,0.803763440860215,0.7982332923841112,100,0.43047488
busqueda local,0.75,2:47:42,0.8198924731182796,0.8300349234408932,0.8198924731182796,0.8130390512684276,100,0.6457123
genetico,0.1,0:29:18,0.803763440860215,0.8226695762865976,0.803763440860215,0.79333008257821,100,0.086094975
genetico,0.25,1:01:19,0.8360215053763441,0.8431247115295856,0.8360215053763441,0.832056025182598,100,0.21523744
genetico,0.5,2:03:37,0.8010752688172043,0.8224118837591171,0.8010752688172043,0.7946638946638946,100,0.43047488
genetico,0.75,3:09:30,0.8306451612903226,0.8501523168189834,0.8306451612903226,0.823279601654148,100,0.6457123
memetico,0.1,0:32:50,0.8225806451612904,0.8214805647289277,0.8225806451612904,0.821605540945572,100,0.086094975
memetico,0.25,1:09:18,0.8279569892473119,0.8368945868945868,0.8279569892473119,0.8220783266577659,100,0.21523744
memetico,0.5,2:09:45,0.8064516129032258,0.8307297109021248,0.8064516129032258,0.8021858710094749,100,0.43047488
memetico,0.75,3:09:47,0.8279569892473119,0.8361552166126974,0.8279569892473119,0.8195992344928515,100,0.6457123
genetico2,0.1,0:32:57,0.8252688172043011,0.8330122683402015,0.8252688172043011,0.818668251948572,100,0.086094975
genetico2,0.25,1:09:25,0.8413978494623656,0.8490842490842491,0.8413978494623656,0.8354590869939708,100,0.21523744
genetico2,0.5,2:10:01,0.8172043010752689,0.8384186963134331,0.8172043010752689,0.8134400614495214,100,0.43047488
genetico2,0.75,3:09:17,0.8198924731182796,0.8352530179847253,0.8198924731182796,0.8114464104950052,100,0.6457123
genetico3,0.1,0:32:52,0.8279569892473119,0.8368752660706683,0.8279569892473119,0.8214156711406512,100,0.086094975
genetico3,0.25,1:09:25,0.8279569892473119,0.8387663286745228,0.8279569892473119,0.8217419677760671,100,0.21523744
genetico3,0.5,2:09:55,0.803763440860215,0.827664171790074,0.803763440860215,0.7986855243367585,100,0.43047488
genetico3,0.75,3:10:01,0.8172043010752689,0.8311250284026357,0.8172043010752689,0.8078977932636467,100,0.6457123
