Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final
-,1.0,0:04:30,0.7741935483870968,0.8200606659623053,0.7741935483870968,0.7626473151771124,1,0.86094975
aleatorio,0.1,0:27:47,0.7849462365591398,0.8111078405721264,0.7849462365591398,0.7685152874332231,100,0.086094975
aleatorio,0.25,1:07:07,0.7956989247311828,0.8126716566866268,0.7956989247311828,0.7865190294227242,100,0.21523744
aleatorio,0.5,2:23:35,0.803763440860215,0.8270540655598126,0.803763440860215,0.7996146112479733,100,0.43047488
aleatorio,0.75,3:12:35,0.8306451612903226,0.8478021286339965,0.8306451612903226,0.8255159357055091,100,0.6457123
busqueda local,0.1,0:33:49,0.7688172043010753,0.7950204022452826,0.7688172043010753,0.7595383705321593,100,0.086094975
busqueda local,0.25,1:09:58,0.8198924731182796,0.8273739848464227,0.8198924731182796,0.81301658267354,100,0.21523744
busqueda local,0.5,2:11:55,0.7983870967741935,0.8170777542870565,0.7983870967741935,0.7929252041401574,100,0.43047488
busqueda local,0.75,3:12:19,0.8172043010752689,0.8439856591058514,0.8172043010752689,0.8083545288426349,100,0.6457123
genetico,0.1,0:34:12,0.782258064516129,0.8032876308418103,0.782258064516129,0.7718458049886622,100,0.086094975
genetico,0.25,1:10:45,0.7956989247311828,0.8161602930502632,0.7956989247311828,0.786091633145026,100,0.21523744
genetico,0.5,2:11:40,0.7956989247311828,0.8157894736842106,0.7956989247311828,0.7875963738798265,100,0.43047488
genetico,0.75,3:12:33,0.8306451612903226,0.8478021286339965,0.8306451612903226,0.8255159357055091,100,0.6457123
memetico,0.1,0:33:22,0.7903225806451613,0.7993049071480445,0.7903225806451613,0.7837177847513764,100,0.086094975
memetico,0.25,1:09:58,0.8145161290322581,0.8290527223454052,0.8145161290322581,0.808688753708859,100,0.21523744
memetico,0.5,2:12:45,0.8118279569892473,0.8275534851621809,0.8118279569892473,0.8068547612700542,100,0.43047488
memetico,0.75,3:13:48,0.8306451612903226,0.8478021286339965,0.8306451612903226,0.8255159357055091,100,0.6457123
genetico2,0.1,0:34:15,0.7956989247311828,0.8040678404941852,0.7956989247311828,0.7880391311631562,100,0.086094975
genetico2,0.25,1:10:46,0.8010752688172043,0.8166913214990139,0.8010752688172043,0.7954616163151681,100,0.21523744
genetico2,0.5,2:11:43,0.8091397849462365,0.8333166099843509,0.8091397849462365,0.8056239894541752,100,0.43047488
genetico2,0.75,3:12:36,0.8306451612903226,0.8478021286339965,0.8306451612903226,0.8255159357055091,100,0.6457123
genetico3,0.1,0:33:35,0.7903225806451613,0.8068453841235855,0.7903225806451613,0.7764621042763394,100,0.086094975
genetico3,0.25,1:10:01,0.803763440860215,0.812466172349712,0.803763440860215,0.7967693077990609,100,0.21523744
genetico3,0.5,2:11:09,0.8091397849462365,0.8333166099843509,0.8091397849462365,0.8056239894541752,100,0.43047488
genetico3,0.75,3:12:36,0.8306451612903226,0.8478021286339965,0.8306451612903226,0.8255159357055091,109,0.6457123
