

---------------------------------------mobilenet  BUSQUEDA LOCAL  10%----------------------------------------------

Evaluación 1 -> 2024-11-02_15-39
Evaluación 2 -> 2024-11-02_15-39
Evaluación 3 -> 2024-11-02_15-39
Evaluación 4 -> 2024-11-02_15-39
Evaluación 5 -> 2024-11-02_15-39
Evaluación 6 -> 2024-11-02_15-39
Evaluación 7 -> 2024-11-02_15-39
Evaluación 8 -> 2024-11-02_15-39
Evaluación 9 -> 2024-11-02_15-39
Evaluación 10 -> 2024-11-02_15-39
Evaluación 11 -> 2024-11-02_15-39
Evaluación 12 -> 2024-11-02_15-39
Evaluación 13 -> 2024-11-02_15-39
Evaluación 14 -> 2024-11-02_15-39
Evaluación 15 -> 2024-11-02_15-39
Evaluación 16 -> 2024-11-02_15-39
Evaluación 17 -> 2024-11-02_15-39
Evaluación 18 -> 2024-11-02_15-39
Evaluación 19 -> 2024-11-02_15-39
Evaluación 20 -> 2024-11-02_15-39
Evaluación 21 -> 2024-11-02_15-39
Evaluación 22 -> 2024-11-02_15-39
Evaluación 23 -> 2024-11-02_15-39
Evaluación 24 -> 2024-11-02_15-39
Evaluación 25 -> 2024-11-02_15-39
Evaluación 26 -> 2024-11-02_15-39
Evaluación 27 -> 2024-11-02_15-39
Evaluación 28 -> 2024-11-02_15-39
Evaluación 29 -> 2024-11-02_15-39
Evaluación 30 -> 2024-11-02_15-39
Evaluación 31 -> 2024-11-02_15-39
Evaluación 32 -> 2024-11-02_15-39
Evaluación 33 -> 2024-11-02_15-39
Evaluación 34 -> 2024-11-02_15-39
Evaluación 35 -> 2024-11-02_15-39
Evaluación 36 -> 2024-11-02_15-39
Evaluación 37 -> 2024-11-02_15-39
Evaluación 38 -> 2024-11-02_15-39
Evaluación 39 -> 2024-11-02_15-39
Evaluación 40 -> 2024-11-02_15-39
Evaluación 41 -> 2024-11-02_15-39
Evaluación 42 -> 2024-11-02_15-39
Evaluación 43 -> 2024-11-02_15-39
Evaluación 44 -> 2024-11-02_15-39
Evaluación 45 -> 2024-11-02_15-39
Evaluación 46 -> 2024-11-02_15-39
Evaluación 47 -> 2024-11-02_15-39
Evaluación 48 -> 2024-11-02_15-39
Evaluación 49 -> 2024-11-02_15-39
Evaluación 50 -> 2024-11-02_15-39
Evaluación 51 -> 2024-11-02_15-39
Evaluación 52 -> 2024-11-02_15-39
Evaluación 53 -> 2024-11-02_15-39
Evaluación 54 -> 2024-11-02_15-39
Evaluación 55 -> 2024-11-02_15-39
Evaluación 56 -> 2024-11-02_15-39
Evaluación 57 -> 2024-11-02_15-39
Evaluación 58 -> 2024-11-02_15-39
Evaluación 59 -> 2024-11-02_15-39
Evaluación 60 -> 2024-11-02_15-39
Evaluación 61 -> 2024-11-02_15-39
Evaluación 62 -> 2024-11-02_15-39
Evaluación 63 -> 2024-11-02_15-39
Evaluación 64 -> 2024-11-02_15-39
Evaluación 65 -> 2024-11-02_15-39
Evaluación 66 -> 2024-11-02_15-39
Evaluación 67 -> 2024-11-02_15-39
Evaluación 68 -> 2024-11-02_15-39
Evaluación 69 -> 2024-11-02_15-39
Evaluación 70 -> 2024-11-02_15-39
Evaluación 71 -> 2024-11-02_15-39
Evaluación 72 -> 2024-11-02_15-39
Evaluación 73 -> 2024-11-02_15-39
Evaluación 74 -> 2024-11-02_15-39
Evaluación 75 -> 2024-11-02_15-39
Evaluación 76 -> 2024-11-02_15-39
