Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Paper,Porcentaje Rock,Porcentaje Scissors
genetico2 (libre),0.1,0:45:00,0.8091,0.8283,0.8091,0.801,100,0.2698,0.3471,0.3147,0.3382
genetico2 (libre),0.25,1:03:02,0.8065,0.8213,0.8065,0.8003,100,0.2274,0.3525,0.3159,0.3316
genetico2 (libre),0.5,1:42:01,0.8118,0.8375,0.8118,0.8082,100,0.4476,0.3271,0.3324,0.3404
genetico2 (libre),0.75,2:30:57,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
genetico3,0.1,0:29:56,0.7661,0.8101,0.7661,0.7501,100,0.1,0.3254,0.3532,0.3214
genetico3,0.25,1:02:38,0.8065,0.8206,0.8065,0.796,100,0.25,0.3397,0.2921,0.3683
genetico3,0.5,1:56:53,0.8118,0.8286,0.8118,0.8076,100,0.5,0.3262,0.3381,0.3357
genetico3,0.75,2:50:20,0.8306,0.8478,0.8306,0.8255,100,0.75,0.3423,0.327,0.3307
