Algoritmo,Porcentaje Inicial,Duracion,Accuracy,Precision,Recall,F1-score,Evaluaciones Realizadas,Porcentaje Final,Porcentaje Drawings,Porcentaje Engraving,Porcentaje Iconography,Porcentaje Painting,Porcentaje Sculpture
MA,0.25,3:12:35,0.9182,0.9151,0.9182,0.9159,100,0.25,0.1425,0.1031,0.2684,0.2482,0.2378
MA,0.5,6:15:33,0.9252,0.9235,0.9252,0.924,100,0.5,0.1536,0.0966,0.2611,0.2684,0.2202
MA,0.75,16:05:46,0.9299,0.9277,0.9299,0.9284,100,0.75,0.1401,0.0988,0.2661,0.2677,0.2273
